,"Type","Date","Num","Name","Memo","Account","Clr","Split","Debit","Credit","Balance","Account Type"
,"Build Assembly","08-01-2025","12408",,"Cap Lemon Green","Lids Lemon","X","1 Kg VIM lemon","",40423.68,427941.29,"Other Current Asset"
,"Build Assembly","08-01-2025","12409",,"Cap Lemon Green","Lids Lemon","X","500g VIM lemon","",31489.92,396451.37,"Other Current Asset"
,"Build Assembly","09-01-2025","12417",,"Cap Lemon Green","Lids Lemon","X","500g VIM lemon","",101376.00,295075.37,"Other Current Asset"
,"Build Assembly","10-01-2025","12424",,"Cap Lemon Green","Lids Lemon","X","Vim Scourer Lmn 12X1Kg+Vim Lvr","",4752.00,290323.37,"Other Current Asset"
,"Build Assembly","10-01-2025","12423",,"Cap Lemon Green","Lids Lemon","X","500g VIM lemon","",83635.20,206688.17,"Other Current Asset"
,"Bill","13-01-2025","0190275610000062982","Ashut Plastics Limited","Cap Lemon Green","Lids Lemon",,"Accounts Payable",163680.00,"",370368.17,"Other Current Asset"
,"Build Assembly","16-01-2025","12474",,"Cap Lemon Green","Lids Lemon","X","1 Kg VIM lemon","",44352.00,326016.17,"Other Current Asset"
,"Build Assembly","16-01-2025","12476",,"Cap Lemon Green","Lids Lemon","X","Vim Scourer Lmn 12X1Kg+Vim Lvr","",3326.40,322689.77,"Other Current Asset"
,"Bill","17-01-2025","0190275610000063326","Ashut Plastics Limited","Cap Lemon Green","Lids Lemon",,"Accounts Payable",240240.00,"",562929.77,"Other Current Asset"
,"Build Assembly","17-01-2025","12482",,"Cap Lemon Green","Lids Lemon","X","500g VIM lemon","",21035.52,541894.25,"Other Current Asset"
,"Build Assembly","17-01-2025","12484",,"Cap Lemon Green","Lids Lemon","X","Vim Scourer Lmn 12X1Kg+Vim Lvr","",4435.20,537459.05,"Other Current Asset"
,"Build Assembly","20-01-2025","12506",,"Cap Lemon Green","Lids Lemon","X","500g VIM lemon","",6082.56,531376.49,"Other Current Asset"
,"Build Assembly","20-01-2025","12507",,"Cap Lemon Green","Lids Lemon","X","1 Kg VIM lemon","",44352.00,487024.49,"Other Current Asset"
,"Build Assembly","20-01-2025","12509",,"Cap Lemon Green","Lids Lemon","X","Vim Scourer Lmn 12X1Kg+Vim Lvr","",1108.80,485915.69,"Other Current Asset"
,"Bill","21-01-2025","0190275610000063508","Ashut Plastics Limited","Cap Lemon Green","Lids Lemon",,"Accounts Payable",229680.00,"",715595.69,"Other Current Asset"
,"Build Assembly","21-01-2025","12516",,"Cap Lemon Green","Lids Lemon","X","Vim Scourer Lmn 12X1Kg+Vim Lvr","",665.28,714930.41,"Other Current Asset"
,"Build Assembly","21-01-2025","12517",,"Cap Lemon Green","Lids Lemon","X","500g VIM lemon","",103910.40,611020.01,"Other Current Asset"
,"Build Assembly","22-01-2025","12526",,"Cap Lemon Green","Lids Lemon","X","500g VIM lemon","",74004.48,537015.53,"Other Current Asset"
"Total Lids Lemon",,,,,,,,,945120.00,778155.84,537015.53,
"Lids Lavender",,,,,,,,,,,123565.38,
,"Build Assembly","04-01-2025","12374",,"Cap Lavender Purple","Lids Lavender","X","1 kg VIM lavender","",5100.48,118464.90,"Other Current Asset"
,"Build Assembly","06-01-2025","12382",,"Cap Lavender Purple","Lids Lavender","X","1 kg VIM lavender","",47773.44,70691.46,"Other Current Asset"
,"Build Assembly","06-01-2025","12383",,"Cap Lavender Purple","Lids Lavender","X","500g VIM lavender","",18247.68,52443.78,"Other Current Asset"
,"Build Assembly","07-01-2025","12395",,"Cap Lavender Purple","Lids Lavender","X","Sunlight Lavender 12X1KG","",7634.88,44808.90,"Other Current Asset"
,"Bill","07-01-2025","0190275610000062565","Ashut Plastics Limited","Cap Lavender Purple","Lids Lavender",,"Accounts Payable",348480.00,"",393288.90,"Other Current Asset"
,"Build Assembly","07-01-2025","12394",,"Cap Lavender Purple","Lids Lavender","X","500g VIM lavender","",68112.00,325176.90,"Other Current Asset"
,"Build Assembly","10-01-2025","12424",,"Cap Lavender Purple","Lids Lavender","X","Vim Scourer Lmn 12X1Kg+Vim Lvr","",4752.00,320424.90,"Other Current Asset"
,"Build Assembly","15-01-2025","12460",,"Cap Lavender Purple","Lids Lavender","X","500g VIM lavender","",29399.04,291025.86,"Other Current Asset"
,"Build Assembly","15-01-2025","12461",,"Cap Lavender Purple","Lids Lavender","X","Sunlight Lavender 24X500G","",18691.20,272334.66,"Other Current Asset"
,"Build Assembly","15-01-2025","12462",,"Cap Lavender Purple","Lids Lavender","X","Sunlight Lavender 12X1KG","",9472.32,262862.34,"Other Current Asset"
,"Build Assembly","16-01-2025","12476",,"Cap Lavender Purple","Lids Lavender","X","Vim Scourer Lmn 12X1Kg+Vim Lvr","",3326.40,259535.94,"Other Current Asset"
,"Bill","17-01-2025","0190275610000063327","Ashut Plastics Limited","Cap Lavender Purple","Lids Lavender",,"Accounts Payable",55440.00,"",314975.94,"Other Current Asset"
,"Build Assembly","17-01-2025","12483",,"Cap Lavender Purple","Lids Lavender","X","500g VIM lavender","",48660.48,266315.46,"Other Current Asset"
,"Build Assembly","17-01-2025","12484",,"Cap Lavender Purple","Lids Lavender","X","Vim Scourer Lmn 12X1Kg+Vim Lvr","",4435.20,261880.26,"Other Current Asset"
,"Build Assembly","20-01-2025","12509",,"Cap Lavender Purple","Lids Lavender","X","Vim Scourer Lmn 12X1Kg+Vim Lvr","",1108.80,260771.46,"Other Current Asset"
,"Build Assembly","21-01-2025","12516",,"Cap Lavender Purple","Lids Lavender","X","Vim Scourer Lmn 12X1Kg+Vim Lvr","",665.28,260106.18,"Other Current Asset"
,"Build Assembly","22-01-2025","12527",,"Cap Lavender Purple","Lids Lavender","X","1 kg VIM lavender","",11911.68,248194.50,"Other Current Asset"
,"Bill","23-01-2025","0190275610000063825","Ashut Plastics Limited","Cap Lavender Purple","Lids Lavender",,"Accounts Payable",216480.00,"",464674.50,"Other Current Asset"
,"Build Assembly","23-01-2025","12534",,"Cap Lavender Purple","Lids Lavender","X","500g VIM lavender","",30159.36,434515.14,"Other Current Asset"
,"Build Assembly","23-01-2025","12535",,"Cap Lavender Purple","Lids Lavender","X","1 kg VIM lavender","",34657.92,399857.22,"Other Current Asset"
,"Build Assembly","24-01-2025","12544",,"Cap Lavender Purple","Lids Lavender","X","500g VIM lavender","",18691.20,381166.02,"Other Current Asset"
"Total Lids Lavender",,,,,,,,,620400.00,362799.36,381166.02,
"Outers 1 Kg Lavender",,,,,,,,,,,24290.49,
,"Bill","04-01-2025","0010196450000051913","Allpack Industries Limited","Outer Vim Lavender Fresh 12x1Kg","Outers 1 Kg Lavender",,"Accounts Payable",144875.38,"",169165.87,"Other Current Asset"
,"Build Assembly","04-01-2025","12374",,"Outer Vim Lavender Fresh 12x1Kg","Outers 1 Kg Lavender","X","1 kg VIM lavender","",5819.59,163346.28,"Other Current Asset"
,"Build Assembly","06-01-2025","12382",,"Outer Vim Lavender Fresh 12x1Kg","Outers 1 Kg Lavender","X","1 kg VIM lavender","",54509.00,108837.28,"Other Current Asset"
,"Build Assembly","22-01-2025","12527",,"Outer Vim Lavender Fresh 12x1Kg","Outers 1 Kg Lavender","X","1 kg VIM lavender","",13591.10,95246.18,"Other Current Asset"
,"Build Assembly","23-01-2025","12535",,"Outer Vim Lavender Fresh 12x1Kg","Outers 1 Kg Lavender","X","1 kg VIM lavender","",39544.33,55701.85,"Other Current Asset"
"Total Outers 1 Kg Lavender",,,,,,,,,144875.38,113464.02,55701.85,
"Printed Domesto 100g Wrapper SA",,,,,,,,,,,0.00,
"Total Printed Domesto 100g Wrapper SA",,,,,,,,,"","",0.00,
"Domestos Sewing Thread",,,,,,,,,,,0.00,
"Total Domestos Sewing Thread",,,,,,,,,"","",0.00,
"500g Lemon Fresh Pouch",,,,,,,,,,,200170.28,
,"Build Assembly","04-01-2025","12373",,"500g Lemon Pouch","500g Lemon Fresh Pouch","X","Vim Lemon Fresh Pouch 24x500g","",11750.30,188419.98,"Other Current Asset"
,"Build Assembly","06-01-2025","12384",,"500g Lemon Pouch","500g Lemon Fresh Pouch","X","Vim Lemon Fresh Pouch 24x500g","",10118.31,178301.67,"Other Current Asset"
,"Build Assembly","07-01-2025","12398",,"500g Lemon Pouch","500g Lemon Fresh Pouch","X","Vim Lemon Fresh Pouch 24x500g","",13382.28,164919.39,"Other Current Asset"
,"Build Assembly","08-01-2025","12410",,"500g Lemon Pouch","500g Lemon Fresh Pouch","X","Vim Lemon Fresh Pouch 24x500g","",22439.80,142479.59,"Other Current Asset"
,"Build Assembly","09-01-2025","12418",,"500g Lemon Pouch","500g Lemon Fresh Pouch","X","Vim Lemon Fresh Pouch 24x500g","",10771.10,131708.49,"Other Current Asset"
,"Build Assembly","13-01-2025","12445",,"500g Lemon Pouch","500g Lemon Fresh Pouch","X","Vim Lemon Fresh Pouch 24x500g","",13055.88,118652.61,"Other Current Asset"
,"Build Assembly","15-01-2025","12464",,"500g Lemon Pouch","500g Lemon Fresh Pouch","X","Vim Lemon Fresh Pouch 24x500g","",11750.30,106902.31,"Other Current Asset"
,"Build Assembly","16-01-2025","12475",,"500g Lemon Pouch","500g Lemon Fresh Pouch","X","Vim Lemon Fresh Pouch 24x500g","",4977.56,101924.75,"Other Current Asset"
,"Build Assembly","21-01-2025","12518",,"500g Lemon Pouch","500g Lemon Fresh Pouch","X","Vim Lemon Fresh Pouch 24x500g","",12892.69,89032.06,"Other Current Asset"
,"Build Assembly","23-01-2025","12536",,"500g Lemon Pouch","500g Lemon Fresh Pouch","X","Vim Lemon Fresh Pouch 24x500g","",14279.87,74752.19,"Other Current Asset"
,"Build Assembly","24-01-2025","12546",,"500g Lemon Pouch","500g Lemon Fresh Pouch","X","Vim Lemon Fresh Pouch 24x500g","",6038.35,68713.84,"Other Current Asset"
"Total 500g Lemon Fresh Pouch",,,,,,,,,0.00,131456.44,68713.84,
"60x100g Domestos Cheetah Bag",,,,,,,,,,,0.00,
"Total 60x100g Domestos Cheetah Bag",,,,,,,,,"","",0.00,
"AV 50",,,,,,,,,,,0.00,
,"Build Assembly","17-01-2025","12486",,"AV 50 Shading Dye","AV 50","X","Emit 4",0.00,"",0.00,"Other Current Asset"
"Total AV 50",,,,,,,,,0.00,0.00,0.00,
"BLUE C1 42051",,,,,,,,,,,154526.32,
,"Build Assembly","07-01-2025","12391",,"BLUE C1 42051","BLUE C1 42051","X","Sunlight Mix Lavender","",2861.60,151664.72,"Other Current Asset"
,"Build Assembly","07-01-2025","12392",,"BLUE C1 42051","BLUE C1 42051","X","Sunlight Mix Lemon","",5723.21,145941.51,"Other Current Asset"
,"Build Assembly","15-01-2025","12456",,"BLUE C1 42051","BLUE C1 42051","X","Sunlight Mix Lavender","",11446.41,134495.10,"Other Current Asset"
,"Build Assembly","15-01-2025","12457",,"BLUE C1 42051","BLUE C1 42051","X","Sunlight Mix Lemon","",5723.21,128771.89,"Other Current Asset"
"Total BLUE C1 42051",,,,,,,,,0.00,25754.43,128771.89,
"Canister 1 Kg",,,,,,,,,,,357908.43,
,"Build Assembly","02-01-2025","12352",,"Vim Powder Canister 1Kg","Canister 1 Kg","X","1 Kg VIM lemon","",76215.78,281692.65,"Other Current Asset"
,"Build Assembly","02-01-2025","12353",,"D","Canister 1 Kg","X","rHDPE white pellets",3911.53,"",285604.18,"Other Current Asset"
,"Build Assembly","03-01-2025","12361",,"Vim Powder Canister 1Kg","Canister 1 Kg","X","1 Kg VIM lemon","",66270.75,219333.43,"Other Current Asset"
,"Build Assembly","04-01-2025","12370",,"D","Canister 1 Kg","X","rHDPE white pellets",8420.64,"",227754.07,"Other Current Asset"
,"Build Assembly","04-01-2025","12374",,"Vim Powder Canister 1Kg","Canister 1 Kg","X","1 kg VIM lavender","",13123.59,214630.48,"Other Current Asset"
,"Build Assembly","04-01-2025","12375",,"N","Canister 1 Kg","X","rHDPE white pellets",26511.45,"",241141.93,"Other Current Asset"
,"Build Assembly","05-01-2025","12377",,"D","Canister 1 Kg","X","rHDPE white pellets",20535.51,"",261677.44,"Other Current Asset"
,"Build Assembly","05-01-2025","12379",,"N","Canister 1 Kg","X","rHDPE white pellets",26402.80,"",288080.24,"Other Current Asset"
,"Build Assembly","06-01-2025","12382",,"Vim Powder Canister 1Kg","Canister 1 Kg","X","1 kg VIM lavender","",122912.74,165167.50,"Other Current Asset"
,"Build Assembly","06-01-2025","12385",,"D","Canister 1 Kg","X","rHDPE white pellets",14885.53,"",180053.03,"Other Current Asset"
,"Build Assembly","06-01-2025","12387",,"N","Canister 1 Kg","X","rHDPE white pellets",24881.65,"",204934.68,"Other Current Asset"
,"Build Assembly","07-01-2025","12397",,"Vim Powder Canister 1Kg","Canister 1 Kg","X","1 Kg VIM lemon","",11410.54,193524.14,"Other Current Asset"
,"Build Assembly","07-01-2025","12403",,"D","Canister 1 Kg","X","rHDPE white pellets",20046.57,"",213570.71,"Other Current Asset"
,"Build Assembly","07-01-2025","12405",,"N","Canister 1 Kg","X","rHDPE white pellets",25424.91,"",238995.62,"Other Current Asset"
,"Build Assembly","08-01-2025","12408",,"Vim Powder Canister 1Kg","Canister 1 Kg","X","1 Kg VIM lemon","",103995.58,135000.04,"Other Current Asset"
,"Build Assembly","08-01-2025","12411",,"D","Canister 1 Kg","X","rHDPE white pellets",21744.28,"",156744.32,"Other Current Asset"
,"Build Assembly","08-01-2025","12413",,"N","Canister 1 Kg","X","rHDPE white pellets",24447.03,"",181191.35,"Other Current Asset"
,"Build Assembly","09-01-2025","12419",,"D","Canister 1 Kg","X","rHDPE white pellets",21513.39,"",202704.74,"Other Current Asset"
,"Build Assembly","09-01-2025","12421",,"N","Canister 1 Kg","X","rHDPE white pellets",24338.38,"",227043.12,"Other Current Asset"
,"Build Assembly","10-01-2025","12424",,"Vim Powder Canister 1Kg","Canister 1 Kg","X","Vim Scourer Lmn 12X1Kg+Vim Lvr","",24449.00,202594.12,"Other Current Asset"
,"Build Assembly","10-01-2025","12428",,"D","Canister 1 Kg","X","rHDPE white pellets",22002.33,"",224596.45,"Other Current Asset"
,"Build Assembly","10-01-2025","12430",,"N","Canister 1 Kg","X","rHDPE white pellets",26674.43,"",251270.88,"Other Current Asset"
,"Build Assembly","11-01-2025","12432",,"D","Canister 1 Kg","X","rHDPE white pellets",20535.51,"",271806.39,"Other Current Asset"
,"Build Assembly","11-01-2025","12434",,"N","Canister 1 Kg","X","rHDPE white pellets",25424.91,"",297231.30,"Other Current Asset"
,"Build Assembly","12-01-2025","12436",,"D","Canister 1 Kg","X","rHDPE white pellets",20807.14,"",318038.44,"Other Current Asset"
,"Build Assembly","12-01-2025","12438",,"N","Canister 1 Kg","X","rHDPE white pellets",25112.54,"",343150.98,"Other Current Asset"
,"Build Assembly","13-01-2025","12442",,"Vim Powder Canister 1Kg","Canister 1 Kg","X","Domestos Canister 12x900g","",24529.71,318621.27,"Other Current Asset"
,"Build Assembly","13-01-2025","12446",,"D","Canister 1 Kg","X","rHDPE white pellets",17003.25,"",335624.52,"Other Current Asset"
,"Build Assembly","13-01-2025","12449",,"N","Canister 1 Kg","X","rHDPE white pellets",25423.39,"",361047.91,"Other Current Asset"
,"Build Assembly","14-01-2025","12451",,"D","Canister 1 Kg","X","rHDPE white pellets",21892.36,"",382940.27,"Other Current Asset"
,"Build Assembly","14-01-2025","12453",,"N","Canister 1 Kg","X","rHDPE white pellets",26020.95,"",408961.22,"Other Current Asset"
,"Build Assembly","15-01-2025","12465",,"D","Canister 1 Kg","X","rHDPE white pellets",22163.98,"",431125.20,"Other Current Asset"
,"Build Assembly","15-01-2025","12467",,"N","Canister 1 Kg","X","rHDPE white pellets",25477.71,"",456602.91,"Other Current Asset"
,"Build Assembly","16-01-2025","12474",,"Vim Powder Canister 1Kg","Canister 1 Kg","X","1 Kg VIM lemon","",114088.30,342514.61,"Other Current Asset"
,"Build Assembly","16-01-2025","12473",,"D","Canister 1 Kg",,"rHDPE white pellets",20914.54,"",363429.15,"Other Current Asset"
,"Build Assembly","16-01-2025","12476",,"Vim Powder Canister 1Kg","Canister 1 Kg","X","Vim Scourer Lmn 12X1Kg+Vim Lvr","",17113.17,346315.98,"Other Current Asset"
,"Build Assembly","16-01-2025","12479",,"N","Canister 1 Kg","X","rHDPE white pellets",25043.12,"",371359.10,"Other Current Asset"
,"Build Assembly","17-01-2025","12484",,"Vim Powder Canister 1Kg","Canister 1 Kg","X","Vim Scourer Lmn 12X1Kg+Vim Lvr","",22817.46,348541.64,"Other Current Asset"
,"Build Assembly","17-01-2025","12489",,"D","Canister 1 Kg","X","rHDPE white pellets",20534.27,"",369075.91,"Other Current Asset"
,"Build Assembly","17-01-2025","12493",,"N","Canister 1 Kg","X","rHDPE white pellets",25260.42,"",394336.33,"Other Current Asset"
,"Build Assembly","18-01-2025","12496",,"D","Canister 1 Kg","X","rHDPE white pellets",18795.92,"",413132.25,"Other Current Asset"
,"Build Assembly","18-01-2025","12498",,"N","Canister 1 Kg","X","rHDPE white pellets",25640.68,"",438772.93,"Other Current Asset"
,"Build Assembly","19-01-2025","12500",,"D","Canister 1 Kg","X","rHDPE white pellets",21349.13,"",460122.06,"Other Current Asset"
,"Build Assembly","19-01-2025","12502",,"N","Canister 1 Kg","X","rHDPE white pellets",24445.56,"",484567.62,"Other Current Asset"
,"Build Assembly","20-01-2025","12507",,"Vim Powder Canister 1Kg","Canister 1 Kg","X","1 Kg VIM lemon","",114085.27,370482.35,"Other Current Asset"
,"Build Assembly","20-01-2025","12509",,"Vim Powder Canister 1Kg","Canister 1 Kg","X","Vim Scourer Lmn 12X1Kg+Vim Lvr","",5704.26,364778.09,"Other Current Asset"
,"Build Assembly","20-01-2025","12510",,"D","Canister 1 Kg","X","rHDPE white pellets",13920.39,"",378698.48,"Other Current Asset"
,"Build Assembly","20-01-2025","12512",,"N","Canister 1 Kg","X","rHDPE white pellets",26156.75,"",404855.23,"Other Current Asset"
,"Build Assembly","21-01-2025","12516",,"Vim Powder Canister 1Kg","Canister 1 Kg","X","Vim Scourer Lmn 12X1Kg+Vim Lvr","",3422.54,401432.69,"Other Current Asset"
,"Build Assembly","21-01-2025","12519",,"D","Canister 1 Kg","X","rHDPE white pellets",17030.41,"",418463.10,"Other Current Asset"
,"Build Assembly","21-01-2025","12521",,"N","Canister 1 Kg","X","rHDPE white pellets",25423.39,"",443886.49,"Other Current Asset"
,"Build Assembly","22-01-2025","12527",,"Vim Powder Canister 1Kg","Canister 1 Kg","X","1 kg VIM lavender","",30639.82,413246.67,"Other Current Asset"
,"Build Assembly","22-01-2025","12528",,"D","Canister 1 Kg","X","rHDPE white pellets",21946.68,"",435193.35,"Other Current Asset"
,"Build Assembly","22-01-2025","12530",,"N","Canister 1 Kg","X","rHDPE white pellets",23576.39,"",458769.74,"Other Current Asset"
,"Build Assembly","23-01-2025","12535",,"Vim Powder Canister 1Kg","Canister 1 Kg","X","1 kg VIM lavender","",89148.44,369621.30,"Other Current Asset"
,"Build Assembly","23-01-2025","12537",,"D","Canister 1 Kg","X","rHDPE white pellets",22109.65,"",391730.95,"Other Current Asset"
,"Build Assembly","23-01-2025","12539",,"D","Canister 1 Kg","X","rHDPE white pellets",22109.65,"",413840.60,"Other Current Asset"
,"Build Assembly","23-01-2025","12541",,"N","Canister 1 Kg","X","rHDPE white pellets",23685.04,"",437525.64,"Other Current Asset"
,"Build Assembly","24-01-2025","12547",,"D","Canister 1 Kg","X","rHDPE white pellets",22272.63,"",459798.27,"Other Current Asset"
"Total Canister 1 Kg",,,,,,,,,941816.79,839926.95,459798.27,
"Canister 500g",,,,,,,,,,,539618.42,
,"Build Assembly","02-01-2025","12355",,"D","Canister 500g","X","rHDPE white pellets",13422.24,"",553040.66,"Other Current Asset"
,"Build Assembly","02-01-2025","12357",,"N","Canister 500g","X","rHDPE white pellets",21010.87,"",574051.53,"Other Current Asset"
,"Build Assembly","03-01-2025","12363",,"D","Canister 500g","X","rHDPE white pellets",17352.50,"",591404.03,"Other Current Asset"
,"Build Assembly","03-01-2025","12364",,"Vim Powder Canister 500g","Canister 500g","X","500g VIM lemon","",116240.74,475163.29,"Other Current Asset"
,"Build Assembly","03-01-2025","12366",,"N","Canister 500g","X","rHDPE white pellets",19937.37,"",495100.66,"Other Current Asset"
,"Build Assembly","04-01-2025","12371",,"D","Canister 500g","X","rHDPE white pellets",17868.06,"",512968.72,"Other Current Asset"
,"Build Assembly","04-01-2025","12372",,"Vim Powder Canister 500g","Canister 500g","X","500g VIM lemon","",140398.64,372570.08,"Other Current Asset"
,"Build Assembly","04-01-2025","12376",,"N","Canister 500g","X","rHDPE white pellets",20527.09,"",393097.17,"Other Current Asset"
,"Build Assembly","05-01-2025","12378",,"D","Canister 500g","X","rHDPE white pellets",16875.79,"",409972.96,"Other Current Asset"
,"Build Assembly","05-01-2025","12380",,"N","Canister 500g","X","rHDPE white pellets",19086.34,"",429059.30,"Other Current Asset"
,"Build Assembly","06-01-2025","12383",,"Vim Powder Canister 500g","Canister 500g","X","500g VIM lavender","",29338.54,399720.76,"Other Current Asset"
,"Build Assembly","06-01-2025","12386",,"D","Canister 500g","X","rHDPE white pellets",12182.77,"",411903.53,"Other Current Asset"
,"Build Assembly","06-01-2025","12388",,"N","Canister 500g","X","rHDPE white pellets",19164.03,"",431067.56,"Other Current Asset"
,"Build Assembly","07-01-2025","12394",,"Vim Powder Canister 500g","Canister 500g","X","500g VIM lavender","",107924.75,323142.81,"Other Current Asset"
,"Build Assembly","07-01-2025","12404",,"D","Canister 500g","X","rHDPE white pellets",16243.70,"",339386.51,"Other Current Asset"
,"Build Assembly","07-01-2025","12406",,"N","Canister 500g","X","rHDPE white pellets",17055.88,"",356442.39,"Other Current Asset"
,"Bill","08-01-2025","0171370250000000333","Skylife Lite Limited","Vim Powder Canister 500g","Canister 500g",,"Accounts Payable",208125.00,"",564567.39,"Other Current Asset"
,"Build Assembly","08-01-2025","12409",,"Vim Powder Canister 500g","Canister 500g","X","500g VIM lemon","",58850.13,505717.26,"Other Current Asset"
,"Build Assembly","08-01-2025","12412",,"D","Canister 500g","X","rHDPE white pellets",15915.29,"",521632.55,"Other Current Asset"
,"Build Assembly","08-01-2025","12414",,"N","Canister 500g","X","rHDPE white pellets",19492.43,"",541124.98,"Other Current Asset"
,"Bill","08-01-2025","0171370250000000334","Skylife Lite Limited","Vim Powder Canister 500g","Canister 500g",,"Accounts Payable",166875.00,"",707999.98,"Other Current Asset"
,"Build Assembly","09-01-2025","12417",,"Vim Powder Canister 500g","Canister 500g","X","500g VIM lemon","",201718.27,506281.71,"Other Current Asset"
,"Build Assembly","09-01-2025","12420",,"D","Canister 500g","X","rHDPE white pellets",17465.50,"",523747.21,"Other Current Asset"
,"Build Assembly","09-01-2025","12422",,"N","Canister 500g","X","rHDPE white pellets",20375.24,"",544122.45,"Other Current Asset"
,"Build Assembly","10-01-2025","12423",,"Vim Powder Canister 500g","Canister 500g","X","500g VIM lemon","",160959.43,383163.02,"Other Current Asset"
,"Build Assembly","10-01-2025","12429",,"D","Canister 500g","X","rHDPE white pellets",16688.63,"",399851.65,"Other Current Asset"
,"Build Assembly","10-01-2025","12431",,"N","Canister 500g","X","rHDPE white pellets",20304.62,"",420156.27,"Other Current Asset"
,"Build Assembly","11-01-2025","12433",,"D","Canister 500g","X","rHDPE white pellets",16762.79,"",436919.06,"Other Current Asset"
,"Build Assembly","11-01-2025","12435",,"N","Canister 500g","X","rHDPE white pellets",19492.43,"",456411.49,"Other Current Asset"
,"Build Assembly","12-01-2025","12437",,"D","Canister 500g","X","rHDPE white pellets",17232.44,"",473643.93,"Other Current Asset"
,"Build Assembly","12-01-2025","12439",,"N","Canister 500g","X","rHDPE white pellets",19976.21,"",493620.14,"Other Current Asset"
,"Build Assembly","13-01-2025","12444",,"Vim Powder Canister 500g","Canister 500g","X","Vim Powd Lemon Fresh SA 24X500G","",45302.69,448317.45,"Other Current Asset"
,"Build Assembly","13-01-2025","12447",,"D","Canister 500g","X","rHDPE white pellets",2132.74,"",450450.19,"Other Current Asset"
,"Build Assembly","13-01-2025","12443",,"Vim Powder Canister 500g","Canister 500g","X","Domestos Canister 24x450g","",42020.97,408429.22,"Other Current Asset"
,"Build Assembly","15-01-2025","12459",,"Vim Powder Canister 500g","Canister 500g","X","Vim Powd Lemon Fresh SA 24X500G","",11530.82,396898.40,"Other Current Asset"
,"Build Assembly","15-01-2025","12460",,"Vim Powder Canister 500g","Canister 500g","X","500g VIM lavender","",51445.20,345453.20,"Other Current Asset"
,"Build Assembly","16-01-2025","12478",,"D","Canister 500g","X","rHDPE white pellets",12994.18,"",358447.38,"Other Current Asset"
,"Bill","16-01-2025","0171370250000000338","Skylife Lite Limited","Generic Scourer Canister 500g","Canister 500g",,"Accounts Payable",228750.00,"",587197.38,"Other Current Asset"
,"Build Assembly","16-01-2025","12480",,"N","Canister 500g","X","rHDPE white pellets",19491.26,"",606688.64,"Other Current Asset"
,"Build Assembly","17-01-2025","12482",,"Vim Powder Canister 500g","Canister 500g","X","500g VIM lemon","",42227.29,564461.35,"Other Current Asset"
,"Build Assembly","17-01-2025","12483",,"Vim Powder Canister 500g","Canister 500g","X","500g VIM lavender","",97682.41,466778.94,"Other Current Asset"
,"Build Assembly","17-01-2025","12490",,"D","Canister 500g","X","rHDPE white pellets",15797.81,"",482576.75,"Other Current Asset"
,"Build Assembly","17-01-2025","12494",,"N","Canister 500g","X","rHDPE white pellets",20349.30,"",502926.05,"Other Current Asset"
,"Build Assembly","18-01-2025","12497",,"D","Canister 500g","X","rHDPE white pellets",14989.21,"",517915.26,"Other Current Asset"
,"Build Assembly","18-01-2025","12499",,"N","Canister 500g","X","rHDPE white pellets",20010.32,"",537925.58,"Other Current Asset"
,"Build Assembly","19-01-2025","12501",,"D","Canister 500g","X","rHDPE white pellets",16242.72,"",554168.30,"Other Current Asset"
,"Build Assembly","19-01-2025","12503",,"N","Canister 500g","X","rHDPE white pellets",17866.99,"",572035.29,"Other Current Asset"
,"Build Assembly","20-01-2025","12506",,"Vim Powder Canister 500g","Canister 500g","X","500g VIM lemon","",11179.95,560855.34,"Other Current Asset"
,"Build Assembly","20-01-2025","12511",,"D","Canister 500g","X","rHDPE white pellets",12517.49,"",573372.83,"Other Current Asset"
,"Build Assembly","20-01-2025","12513",,"N","Canister 500g","X","rHDPE white pellets",21560.44,"",594933.27,"Other Current Asset"
,"Bill","21-01-2025",,"Skylife Lite Limited","Generic Scourer Canister 500g","Canister 500g",,"Accounts Payable",172500.00,"",767433.27,"Other Current Asset"
,"Build Assembly","21-01-2025","12517",,"Vim Powder Canister 500g","Canister 500g","X","500g VIM lemon","",203773.80,563659.47,"Other Current Asset"
,"Build Assembly","21-01-2025","12520",,"D","Canister 500g","X","rHDPE white pellets",17203.16,"",580862.63,"Other Current Asset"
,"Build Assembly","21-01-2025","12522",,"N","Canister 500g","X","rHDPE white pellets",19900.86,"",600763.49,"Other Current Asset"
,"Build Assembly","22-01-2025","12526",,"Vim Powder Canister 500g","Canister 500g","X","500g VIM lemon","",141065.15,459698.34,"Other Current Asset"
,"Build Assembly","22-01-2025","12529",,"D","Canister 500g","X","rHDPE white pellets",16560.51,"",476258.85,"Other Current Asset"
,"Build Assembly","22-01-2025","12531",,"N","Canister 500g","X","rHDPE white pellets",20649.44,"",496908.29,"Other Current Asset"
,"Build Assembly","23-01-2025","12534",,"Vim Powder Canister 500g","Canister 500g","X","500g VIM lavender","",55715.08,441193.21,"Other Current Asset"
,"Build Assembly","23-01-2025","12538",,"D","Canister 500g","X","rHDPE white pellets",17054.86,"",458248.07,"Other Current Asset"
,"Build Assembly","23-01-2025","12540",,"D","Canister 500g","X","rHDPE white pellets",17054.86,"",475302.93,"Other Current Asset"
